experimento,metrica,n,media,desvio_padrao,margem_ic95,ic95_inferior,ic95_superior,minimo,maximo,cv_pct
4,branch-misses,10,264162.5,205.54548023355912,147.03837877976633,264015.4616212202,264309.5383787798,264026.0,264722.0,0.0778102418903361
5,tempo_segundos,10,0.44826728160000007,0.13044593736823107,0.09331540215448657,0.3549518794455135,0.5415826837544866,0.391100877,0.803495851,29.100035341109546
5,L1-dcache-loads,10,2299932988.3,2291644.249639258,1639343.5400479105,2298293644.759952,2301572331.8400483,2297871547.0,2305795465.0,0.09963960955806504
5,L1-dcache-load-misses,10,137124433.0,58307.25157111916,41710.495080599576,137082722.5049194,137166143.4950806,137031386.0,137199126.0,0.0425214167128911
5,branch-instructions,10,68424489.0,133.39831749730246,95.42740766892052,68424393.57259233,68424584.42740767,68424431.0,68424853.0,0.0001949569802374446
5,branch-misses,10,264138.8,205.01967385269802,146.66223955400463,263992.137760446,264285.462239554,263936.0,264545.0,0.0776181590333181
6,tempo_segundos,10,0.6162137082000001,0.1871544573452841,0.1338822335484492,0.4823314746515509,0.7500959417484493,0.5460364,1.146786386,30.371680287992017
6,L1-dcache-loads,10,2902646246.3,584467.4401981593,418102.8196710804,2902228143.480329,2903064349.1196713,2901824655.0,2903197939.0,0.020135675883452185
6,L1-dcache-load-misses,10,143972832.8,447008.8420633807,319770.86220789055,143653061.93779212,144292603.6622079,143237095.0,144931314.0,0.3104813827511079
6,branch-instructions,10,68424405.2,188.38954913216983,134.76576498772738,68424270.43423502,68424539.96576498,68424333.0,68424939.0,0.0002753250811337266
6,branch-misses,10,264280.9,374.97361388651217,268.2399642571218,264012.6600357429,264549.13996425713,264073.0,265283.0,0.14188449255565277
7,tempo_segundos,10,0.41907593089999995,0.13714263829597448,0.09810593341048633,0.3209699974895136,0.5171818643104863,0.353014343,0.726236323,32.72500952308318
7,L1-dcache-loads,10,2588463355.4,293628.75158842636,210049.35524551556,2588253306.0447545,2588673404.7552457,2587712104.0,2588733385.0,0.011343747670828097
7,L1-dcache-load-misses,10,138718351.4,64513.199156279465,46149.962543845664,138672201.43745616,138764501.36254385,138617400.0,138848471.0,0.04650660745689878
7,branch-instructions,10,147489915.5,140.44631239967345,100.46923949570224,147489815.0307605,147490015.9692395,147489844.0,147490226.0,9.522434935537911e-05
7,branch-misses,10,138133.4,554.763252808499,396.8537240851151,137736.54627591488,138530.2537240851,137579.0,138973.0,0.40161413011516334
8,tempo_segundos,10,0.5647005791,0.16073396075540528,0.11498214885323799,0.44971843024676206,0.679682727953238,0.507240831,1.021523542,28.463572856889474
8,L1-dcache-loads,10,3128284697.2,345596.8941780454,247225.1249383863,3128037472.0750613,3128531922.3249383,3127580721.0,3128621086.0,0.011047488564176243
8,L1-dcache-load-misses,10,1931862.9,212575.98489086726,152067.6988389549,1779795.201161045,2083930.5988389547,1809623.0,2508059.0,11.003678619785454
8,branch-instructions,10,147489809.1,163.31867281143602,116.8311404725109,147489692.26885954,147489925.93114045,147489749.0,147490273.0,0.00011073217451973502
8,branch-misses,10,138018.3,486.84700996423004,348.2693707376862,137670.0306292623,138366.56937073768,137539.0,139011.0,0.35274091186765094
